match,teamInning,battingPosition,batsman,R,B,M,4s,6s,SR,match_id,out/not_out
United Arab Emirates Vs Netherlands,United Arab Emirates,10,Junaid Siddique ,0,1,1,0,0,0.00,T20I # 1825,not_out
United Arab Emirates Vs Netherlands,Netherlands,1,Vikramjit Singh,10,7,8,2,0,142.85,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,2,Max O'Dowd,23,18,25,3,1,127.77,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,3,Bas de Leede,14,18,37,1,0,77.77,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,4,Colin Ackermann,17,19,33,1,0,89.47,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,5,Tom Cooper,8,16,22,0,0,50.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,6,Scott Edwards (c),16,19,42,0,0,84.21,T20I # 1825,not_out
United Arab Emirates Vs Netherlands,Netherlands,7,Roelof van der Merwe,0,2,4,0,0,0.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,8,Tim Pringle,15,16,26,0,0,93.75,T20I # 1825,out
United Arab Emirates Vs Netherlands,Netherlands,9,Logan van Beek,4,4,7,0,0,100.00,T20I # 1825,not_out
Scotland Vs West Indies,Scotland,1,George Munsey ,66,53,106,9,0,124.52,T20I # 1826,not_out
Scotland Vs West Indies,Scotland,2,Michael Jones ,20,17,36,3,0,117.64,T20I # 1826,out
Scotland Vs West Indies,Scotland,3,Matthew Cross ,3,5,10,0,0,60.00,T20I # 1826,out
Scotland Vs West Indies,Scotland,4,Richie Berrington (c),16,14,21,0,1,114.28,T20I # 1826,out
Scotland Vs West Indies,Scotland,5,Calum MacLeod ,23,14,15,4,0,164.28,T20I # 1826,out
Scotland Vs West Indies,Scotland,6,Michael Leask ,4,6,8,0,0,66.66,T20I # 1826,out
Scotland Vs West Indies,Scotland,7,Chris Greaves ,16,11,19,2,0,145.45,T20I # 1826,not_out
Scotland Vs West Indies,West Indies,1,Kyle Mayers,20,13,12,3,1,153.84,T20I # 1826,out
Scotland Vs West Indies,West Indies,2,Evin Lewis,14,13,30,1,1,107.69,T20I # 1826,out
Scotland Vs West Indies,West Indies,3,Brandon King,17,15,24,3,0,113.33,T20I # 1826,out
Scotland Vs West Indies,West Indies,4,Nicholas Pooran (c),5,9,14,0,0,55.55,T20I # 1826,out
Scotland Vs West Indies,West Indies,5,Shamarh Brooks,4,9,24,0,0,44.44,T20I # 1826,out
Scotland Vs West Indies,West Indies,6,Rovman Powell,5,6,12,0,0,83.33,T20I # 1826,out
Scotland Vs West Indies,West Indies,7,Jason Holder,38,33,37,4,1,115.15,T20I # 1826,out
Scotland Vs West Indies,West Indies,8,Akeal Hosein,1,1,4,0,0,100.00,T20I # 1826,out
Scotland Vs West Indies,West Indies,9,Alzarri Joseph,0,1,4,0,0,0.00,T20I # 1826,out
Scotland Vs West Indies,West Indies,10,Odean Smith,5,8,14,0,0,62.50,T20I # 1826,out
Scotland Vs West Indies,West Indies,11,Obed McCoy,2,3,10,0,0,66.66,T20I # 1826,not_out
Zimbabwe Vs Ireland,Zimbabwe,1,Regis Chakabva ,0,2,3,0,0,0.00,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,2,Craig Ervine (c),9,12,28,1,0,75.00,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,3,Wessly Madhevere ,22,19,22,4,0,115.78,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,4,Sean Williams ,12,11,24,0,1,109.09,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,5,Sikandar Raza ,82,48,72,5,5,170.83,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,6,Milton Shumba ,16,14,26,1,0,114.28,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,7,Ryan Burl ,1,4,9,0,0,25.00,T20I # 1828,out
Zimbabwe Vs Ireland,Zimbabwe,8,Luke Jongwe ,20,10,14,3,0,200.00,T20I # 1828,not_out
Zimbabwe Vs Ireland,Ireland,1,Paul Stirling,0,2,3,0,0,0.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,2,Andy Balbirnie (c),3,4,20,0,0,75.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,3,Lorcan Tucker ,11,11,10,2,0,100.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,4,Harry Tector,1,4,5,0,0,25.00,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,5,Curtis Campher,27,22,41,1,0,122.72,T20I # 1828,out
Zimbabwe Vs Ireland,Ireland,6,George Dockrell,24,20,25,3,0,120.00,T20I # 1828,out
